model,working_resale,as_is_resale
GTX 970,70,25
GTX 980,85,30
GTX 980 TI,105,40
GTX 1060 6GB,75,30
GTX 1070,110,45
GTX 1080,140,60
GTX 1080 TI,180,80
GTX 1650,90,40
GTX 1660,110,50
GTX 1660 SUPER,95,45
GTX 1660 TI,115,55

RTX 2060,180,75
RTX 2060 SUPER,210,90
RTX 2070,200,85
RTX 2070 SUPER,230,100
RTX 2080,230,95
RTX 2080 SUPER,270,115
RTX 2080 TI,330,140

RTX 3050 8GB,170,70
RTX 3060 12GB,240,105
RTX 3060 8GB,220,95
RTX 3060 TI,270,120
RTX 3070,280,125
RTX 3070 TI,310,140
RTX 3080 10GB,330,150
RTX 3080 12GB,360,165
RTX 3080 TI,380,175
RTX 3090,520,235
RTX 3090 TI,650,290

RTX 4060,270,115
RTX 4060 TI 8GB,320,140
RTX 4060 TI 16GB,380,165
RTX 4070,560,250
RTX 4070 SUPER,640,290
RTX 4070 TI,700,320
RTX 4070 TI SUPER,780,360
RTX 4080,950,420
RTX 4090,1750,750

RX 470,55,20
RX 480,65,25
RX 570,55,20
RX 580 8GB,75,30
RX 5500 XT,90,35
RX 5600 XT,110,45
RX 5700,130,55
RX 5700 XT,160,70

RX 6600,150,65
RX 6600 XT,180,80
RX 6650 XT,190,85
RX 6700,240,105
RX 6700 XT,290,120
RX 6750 XT,310,130
RX 6800,360,150
RX 6800 XT,440,180
RX 6900 XT,470,195
RX 6950 XT,520,220

RX 7600,240,105
RX 7600 XT,280,120
RX 7700 XT,380,165
RX 7800 XT,480,210
RX 7900 GRE,520,230
RX 7900 XT,650,285
RX 7900 XTX,820,360
